p_value	real_mean	simulated_mean	simulated_std
1.0	1.0	0.953125	0.0
1.0	1.0	0.984375	0.0
1.0	1.0	0.953125	0.0
1.0	1.0	0.96875	0.0
1.0	1.0	1.0	0.0
1.0	1.0	0.96875	0.0
1.0	1.0	0.953125	0.0
1.0	1.0	0.984375	0.0
1.0	1.0	1.0	0.0
1.0	1.0	1.0	0.0
1.0	1.0	1.0	0.0
1.0	1.0	1.0	0.0
1.0	1.0	1.0	0.0
0.85949198333066	0.25	0.23601500496031746	0.3564200484786176
0.8266129503370425	0.25	0.2247519841269841	0.34711484469472664
0.8280659907281043	0.25	0.23407738095238093	0.35772883230098285
0.8445723872134663	0.25	0.22649739583333334	0.3490474374725401
0.8530315213481022	0.25	0.23679625496031745	0.3557968614240071
0.8439895588703432	0.25	0.22396453373015873	0.34688962295593384
0.8064260427851312	0.25	0.21744171626984127	0.3421489221226087
0.8227278229255581	0.25	0.22659660218253969	0.3535202402887393
0.8353275460441167	0.25	0.22637028769841272	0.3521557349020268
0.8209043910056573	0.16666666666666666	0.15550161643911645	0.3119528460846084
0.8286160037383499	0.16666666666666666	0.14761328081640582	0.29883351542772363
0.8410921794208595	0.125	0.11067683762996261	0.21560426437066388
0.8328865689919324	0.125	0.11284442553973803	0.21849259462783643
0.8088481895759358	0.125	0.1066399746087246	0.21582765967749437
0.8176299801514736	0.125	0.10940577073389574	0.2158894443624512
0.8080592454008895	0.125	0.10746600043475044	0.2146079616913808
0.8152948788805422	0.125	0.1075174247049247	0.21336284732973906
0.8046630862614457	0.13888888888888887	0.12648649093961595	0.28012996812489066
0.7924649075295238	0.13333333333333333	0.16643902376898698	0.30572943271860814
0.7965887944787247	0.13333333333333333	0.16242815006541303	0.2979765459767787
0.7878707878511533	0.13333333333333333	0.1696517653778683	0.30857539770551745
0.7895631875931701	0.13333333333333333	0.16255954469721884	0.30166976050518823
0.6178142585826882	0.16666666666666666	0.22559742311945985	0.35068676935737714
0.6574711093904566	0.16666666666666666	0.21763517976681232	0.3466098911104386
0.6546382223987615	0.2222222222222222	0.2706622492079499	0.37895704595191737
0.6210996628895322	0.2222222222222222	0.2763786105417142	0.38245064134471707
0.6638134444659691	0.2222222222222222	0.27217647275009216	0.38261090168763495
0.64935129894203	0.19753086419753088	0.2492644616135722	0.3621881499801649
0.6309331592349978	0.19135802469135801	0.24406059948655837	0.35925873970954425
0.7183570836573692	0.11607142857142856	0.146529449004575	0.26316982017803653
0.6009692366748284	0.08103741496598639	0.09529458172838853	0.18575625906283433
0.7790393468004626	0.11849103277674705	0.12206293157430245	0.19807133944882216
0.7893030561159851	0.11232134267848554	0.1131719460850355	0.19360247393992028
