p_value	real_mean	simulated_mean	simulated_std
0.630141322487313	0.041666666666666664	0.01878724574037074	0.05723854131985506
0.5884801565197826	0.041666666666666664	0.015860224844599844	0.048156562578932485
0.5080931820969945	0.02333333333333333	0.010498056822160682	0.0321200675376611
0.5778226391054226	0.02571428571428571	0.012880563046168352	0.04149909859459748
0.5229807518843692	0.024107142857142855	0.010623964751217626	0.03560945028508386
0.4898435170375497	0.032467532467532464	0.012210783627952467	0.04313907076816809
0.5022756519015765	0.032467532467532464	0.012590154452162414	0.043886119654445804
0.3197030224673606	0.05541125541125542	0.013268950274397255	0.06184591707865876
0.32227639234331745	0.04749536178107607	0.008924986329958931	0.045438930795655065
0.3665020583563965	0.051177394034536895	0.016117698510268605	0.08152854757834792
0.366886827492466	0.04862637362637363	0.014157543675282241	0.07547615324824875
0.4023764423321363	0.04884004884004885	0.015094956620506698	0.07146506335243288
0.32716492802554664	0.05034965034965035	0.01397366203644697	0.06896671724212651
0.35753260498267764	0.05474525474525475	0.01658378206369164	0.08073125901780046
0.45752126449797037	0.05405405405405406	0.01787257316572373	0.08534866044520853
0.5749244584168407	0.0475394171046345	0.01892314629476476	0.09201089226951664
0.6451850766957379	0.05088389870998567	0.02477226035208186	0.11601086756112802
