Function	ORF	Gene/Allele	Interactor (std)
Mitosis & chromosome segregation	YDL003W	mcd1-5001	MCD1
Mitosis & chromosome segregation	YGL061C	duo1-2	DUO1
Mitosis & chromosome segregation	YJR112W	nnf1-17	NNF1
Mitosis & chromosome segregation	YLR272C	ycs4-1	YCS4
Mitosis & chromosome segregation	YHR172W	spc97-5001	SPC97
Mitosis & chromosome segregation	YMR117C	spc24-10	SPC24
Mitosis & chromosome segregation	YER133W	glc7-12	GLC7
Mitosis & chromosome segregation	YIL144W	tid3-1	NDC80
Mitosis & chromosome segregation	YBL058W	shp1	SHP1
Mitosis & chromosome segregation	YDR356W	spc110-220	SPC110
Mitosis & chromosome segregation	YDR016C	dad1-5005	DAD1
Mitosis & chromosome segregation	YER147C	scc4-4	SCC4
Mitosis & chromosome segregation	YGL003C	cdh1	CDH1
Mitosis & chromosome segregation	YIL106W	mob1-5001	MOB1
Mitosis & chromosome segregation	YMR094W	ctf13-30	CTF13
Mitosis & chromosome segregation	YOL069W	nuf2-61	NUF2
Mitosis & chromosome segregation	YOL069W	nuf2-5001	NUF2
Mitosis & chromosome segregation	YJR112W	nnf1-77	NNF1
Mitosis & chromosome segregation	YKL053W	ykl053w	YKL053W
Mitosis & chromosome segregation	YHR164C	dna2-2	DNA2
Mitosis & chromosome segregation	YBR202W	cdc47-ts	MCM7
Mitosis & chromosome segregation	YOR144C	elg1	ELG1
Mitosis & chromosome segregation	YBR136W	mec1-4ts	MEC1
Mitosis & chromosome segregation	YJL092W	srs2	SRS2
Mitosis & chromosome segregation	YNL273W	tof1	TOF1
Mitosis & chromosome segregation	YGL091C	nbp35-5001	NBP35
Mitosis & chromosome segregation	YOR038C	hir2	HIR2
Mitosis & chromosome segregation	YER120W	scs2	SCS2
Mitosis & chromosome segregation	YOL097C	wrs1-5003	WRS1
Mitosis & chromosome segregation	YER148W	spt15-i143n	SPT15
rDNA & ncDNA processing	YDR064W	rps13-5001	RPS13
rDNA & ncDNA processing	YMR229C	rrp5-delta6	RRP5
rDNA & ncDNA processing	YDR339C	fcf1-5001	FCF1
rDNA & ncDNA processing	YDL208W	nhp2-5001	NHP2
rDNA & ncDNA processing	YGR034W	rpl26b	RPL26B
rDNA & ncDNA processing	YDR496C	puf6	PUF6
rDNA & ncDNA processing	YMR049C	erb1-5001	ERB1
rDNA & ncDNA processing	YHR066W	ssf1	SSF1
rDNA & ncDNA processing	YLR276C	dbp9-5001	DBP9
rDNA & ncDNA processing	YNR038W	dbp6-5001	DBP6
rDNA & ncDNA processing	YBR142W	mak5-5001	MAK5
rDNA & ncDNA processing	YHR088W	rpf1-5001	RPF1
rDNA & ncDNA processing	YPL211W	nip7-1	NIP7
rDNA & ncDNA processing	YDR060W	mak21-1	MAK21
rDNA & ncDNA processing	YAL025C	mak16-5001	MAK16
rDNA & ncDNA processing	YNL061W	nop2-3	NOP2
rDNA & ncDNA processing	YGR103W	nop7-1	NOP7
rDNA & ncDNA processing	YKL021C	mak11-2	MAK11
rDNA & ncDNA processing	YNL061W	nop2-9	NOP2
rDNA & ncDNA processing	YNL061W	nop2-5	NOP2
rDNA & ncDNA processing	YGL078C	dbp3	DBP3
rDNA & ncDNA processing	YLR002C	noc3-5001	NOC3
rDNA & ncDNA processing	YNL061W	nop2-6	NOP2
rDNA & ncDNA processing	YMR269W	tma23	TMA23
rDNA & ncDNA processing	YKL021C	mak11-5001	MAK11
rDNA & ncDNA processing	YDL111C	rrp42-5001	RRP42
rDNA & ncDNA processing	YJL050W	mtr4-1	MTR4
rDNA & ncDNA processing	YOR341W	rpa190-g728d	RPA190
rDNA & ncDNA processing	YHR196W	utp9-5001	UTP9
rDNA & ncDNA processing	YLR397C	afg2-18	AFG2
rDNA & ncDNA processing	YKR092C	srp40	SRP40
rDNA & ncDNA processing	YNR053C	nog2-1	NOG2
rDNA & ncDNA processing	YNL002C	rlp7-5001	RLP7
rDNA & ncDNA processing	YLL011W	sof1-5001	SOF1
rDNA & ncDNA processing	YHR088W	rpf1-1	RPF1
rDNA & ncDNA processing	YLR003C	cms1	CMS1
rDNA & ncDNA processing	YLL008W	drs1-5002	DRS1
rDNA & ncDNA processing	YKL082C	rrp14-5003	RRP14
rDNA & ncDNA processing	YCL059C	krr1-18	KRR1
rDNA & ncDNA processing	YKL082C	rrp14-5010	RRP14
rDNA & ncDNA processing	YDR087C	rrp1-1	RRP1
rDNA & ncDNA processing	YOR056C	nob1-5001	NOB1
rDNA & ncDNA processing	YDR083W	rrp8	RRP8
rDNA & ncDNA processing	YLR197W	nop56-5001	NOP56
rDNA & ncDNA processing	YCL059C	krr1-17	KRR1
rDNA & ncDNA processing	YDL148C	nop14-5001	NOP14
rDNA & ncDNA processing	YDL213C	nop6	NOP6
rDNA & ncDNA processing	YPR137W	rrp9-5001	RRP9
rDNA & ncDNA processing	YLR129W	dip2-5001	DIP2
rDNA & ncDNA processing	YMR093W	utp15-5001	UTP15
rDNA & ncDNA processing	YHR040W	bcd1-5001	BCD1
rDNA & ncDNA processing	YLR186W	emg1-5001	EMG1
rDNA & ncDNA processing	YDL014W	nop1-2	NOP1
rDNA & ncDNA processing	YEL026W	snu13-5001	SNU13
rDNA & ncDNA processing	YDR299W	bfr2-5001	BFR2
rDNA & ncDNA processing	YLR196W	pwp1-5001	PWP1
rDNA & ncDNA processing	YDR449C	utp6-5001	UTP6
rDNA & ncDNA processing	YER082C	utp7-5003	UTP7
rDNA & ncDNA processing	YHR069C	rrp4-1	RRP4
rDNA & ncDNA processing	YIL127C	rrt14	RRT14
rDNA & ncDNA processing	YLR068W	fyv7	FYV7
rDNA & ncDNA processing	YNL282W	pop3-5001	POP3
rDNA & ncDNA processing	YPL266W	dim1-2	DIM1
rDNA & ncDNA processing	YER127W	lcp5-5007	LCP5
rDNA & ncDNA processing	YER127W	lcp5-5005	LCP5
rDNA & ncDNA processing	YOR078W	bud21	BUD21
rDNA & ncDNA processing	YER082C	utp7-5004	UTP7
rDNA & ncDNA processing	YPL043W	nop4-3	NOP4
rDNA & ncDNA processing	YHR197W	rix1-5001	RIX1
rDNA & ncDNA processing	YOL080C	rex4	REX4
rDNA & ncDNA processing	YLR222C	utp13-5001	UTP13
rDNA & ncDNA processing	YOL077C	brx1-5001	BRX1
rDNA & ncDNA processing	YOL041C	nop12	NOP12
rDNA & ncDNA processing	YHR085W	ipi1-5001	IPI1
rDNA & ncDNA processing	YNL061W	nop2-10	NOP2
rDNA & ncDNA processing	YPR143W	rrp15-5007	RRP15
rDNA & ncDNA processing	YDL060W	tsr1-3	TSR1
rDNA & ncDNA processing	YOL079W	yol079w	YOL079W
rDNA & ncDNA processing	YOR235W	irc13	IRC13
rDNA & ncDNA processing	YOR309C	yor309c	YOR309C
rDNA & ncDNA processing	YMR309C	nip1-5007	NIP1
rDNA & ncDNA processing	YPR016C	tif6-ts1	TIF6
rDNA & ncDNA processing	YOR294W	rrs1-84	RRS1
rDNA & ncDNA processing	YOL144W	nop8-5001	NOP8
rDNA & ncDNA processing	YDL031W	dbp10-5004	DBP10
rDNA & ncDNA processing	YOR272W	ytm1-1	YTM1
rDNA & ncDNA processing	YLL008W	drs1-5001	DRS1
rDNA & ncDNA processing	YNL232W	csl4-5001	CSL4
rDNA & ncDNA processing	YHR081W	lrp1	LRP1
rDNA & ncDNA processing	YDR478W	snm1-5001	SNM1
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR512C	emi1	EMI1
Respiration, oxidative phosphorylation, mitochondrial targeting	YNR045W	pet494	PET494
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR316W	oms1	OMS1
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR035W	imp2	IMP2
Respiration, oxidative phosphorylation, mitochondrial targeting	YNR018W	rcf2	RCF2
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR395C	cox8	COX8
Respiration, oxidative phosphorylation, mitochondrial targeting	YKL137W	cmc1	CMC1
Respiration, oxidative phosphorylation, mitochondrial targeting	YER154W	oxa1	OXA1
Respiration, oxidative phosphorylation, mitochondrial targeting	YGR257C	mtm1	MTM1
Respiration, oxidative phosphorylation, mitochondrial targeting	YNL169C	psd1	PSD1
Respiration, oxidative phosphorylation, mitochondrial targeting	YBR179C	fzo1	FZO1
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR066W	sov1	SOV1
Respiration, oxidative phosphorylation, mitochondrial targeting	YBR163W	exo5	EXO5
Respiration, oxidative phosphorylation, mitochondrial targeting	YJR144W	mgm101	MGM101
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR072W	abf2	ABF2
Respiration, oxidative phosphorylation, mitochondrial targeting	YNL315C	atp11	ATP11
Respiration, oxidative phosphorylation, mitochondrial targeting	YKL016C	atp7	ATP7
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR295C	atp14	ATP14
Respiration, oxidative phosphorylation, mitochondrial targeting	YJL180C	atp12	ATP12
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR393W	atp10	ATP10
Respiration, oxidative phosphorylation, mitochondrial targeting	YIL098C	fmc1	FMC1
Respiration, oxidative phosphorylation, mitochondrial targeting	YNR020C	atp23	ATP23
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR298C	atp5	ATP5
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR350C	atp22	ATP22
Respiration, oxidative phosphorylation, mitochondrial targeting	YPL103C	fmp30	FMP30
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR098C	atp25	ATP25
Respiration, oxidative phosphorylation, mitochondrial targeting	YML081C-A	atp18	ATP18
Respiration, oxidative phosphorylation, mitochondrial targeting	YJR121W	atp2	ATP2
Respiration, oxidative phosphorylation, mitochondrial targeting	YKR016W	mic60	MIC60
Respiration, oxidative phosphorylation, mitochondrial targeting	YDL142C	crd1	CRD1
Respiration, oxidative phosphorylation, mitochondrial targeting	YER017C	afg3	AFG3
Respiration, oxidative phosphorylation, mitochondrial targeting	YGR132C	phb1	PHB1
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR150C	imp1	IMP1
Respiration, oxidative phosphorylation, mitochondrial targeting	YLL027W	isa1	ISA1
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR375C	bcs1	BCS1
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR008C	pam18-1	PAM18
Respiration, oxidative phosphorylation, mitochondrial targeting	YEL059C-A	som1	SOM1
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR204W	coq4	COQ4
Respiration, oxidative phosphorylation, mitochondrial targeting	YPL132W	cox11	COX11
Respiration, oxidative phosphorylation, mitochondrial targeting	YOR065W	cyt1	CYT1
Respiration, oxidative phosphorylation, mitochondrial targeting	YGL119W	coq8	COQ8
Respiration, oxidative phosphorylation, mitochondrial targeting	YAL039C	cyc3	CYC3
Respiration, oxidative phosphorylation, mitochondrial targeting	YKL109W	hap4	HAP4
Respiration, oxidative phosphorylation, mitochondrial targeting	YGR255C	coq6	COQ6
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR097C	mtg1-supp1	MTG1
Respiration, oxidative phosphorylation, mitochondrial targeting	YBL021C	hap3	HAP3
Respiration, oxidative phosphorylation, mitochondrial targeting	YGR183C	qcr9	QCR9
Respiration, oxidative phosphorylation, mitochondrial targeting	YLL018C-A	cox19	COX19
Respiration, oxidative phosphorylation, mitochondrial targeting	YLL009C	cox17	COX17
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR231C	cox20	COX20
Respiration, oxidative phosphorylation, mitochondrial targeting	YER058W	pet117	PET117
Respiration, oxidative phosphorylation, mitochondrial targeting	YBR003W	coq1	COQ1
Respiration, oxidative phosphorylation, mitochondrial targeting	YGL237C	hap2	HAP2
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR529C	qcr7	QCR7
Respiration, oxidative phosphorylation, mitochondrial targeting	YHR116W	cox23	COX23
Respiration, oxidative phosphorylation, mitochondrial targeting	YBR037C	sco1	SCO1
Respiration, oxidative phosphorylation, mitochondrial targeting	YBL059C-A	cmc2	CMC2
Respiration, oxidative phosphorylation, mitochondrial targeting	YNR041C	coq2	COQ2
Respiration, oxidative phosphorylation, mitochondrial targeting	YEL024W	rip1	RIP1
Respiration, oxidative phosphorylation, mitochondrial targeting	YML110C	coq5	COQ5
Respiration, oxidative phosphorylation, mitochondrial targeting	YGL191W	cox13	COX13
Respiration, oxidative phosphorylation, mitochondrial targeting	YJR048W	cyc1	CYC1
Respiration, oxidative phosphorylation, mitochondrial targeting	YOL008W	coq10	COQ10
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR290C	ylr290c	COQ11
Respiration, oxidative phosphorylation, mitochondrial targeting	YPL189C-A	coa2	COA2
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR201C	coq9	COQ9
Respiration, oxidative phosphorylation, mitochondrial targeting	YPR191W	qcr2	QCR2
Respiration, oxidative phosphorylation, mitochondrial targeting	YML129C	cox14	COX14
Respiration, oxidative phosphorylation, mitochondrial targeting	YIL157C	coa1	COA1
Respiration, oxidative phosphorylation, mitochondrial targeting	YJR034W	pet191	PET191
Respiration, oxidative phosphorylation, mitochondrial targeting	YKL087C	cyt2	CYT2
Respiration, oxidative phosphorylation, mitochondrial targeting	YPL172C	cox10	COX10
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR038C	cox12	COX12
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR218C	coa4	COA4
Respiration, oxidative phosphorylation, mitochondrial targeting	YJL166W	qcr8	QCR8
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR256C	cox7	COX7
Respiration, oxidative phosphorylation, mitochondrial targeting	YOR125C	cat5	CAT5
Respiration, oxidative phosphorylation, mitochondrial targeting	YOR358W	hap5	HAP5
Respiration, oxidative phosphorylation, mitochondrial targeting	YNL003C	pet8	PET8
Respiration, oxidative phosphorylation, mitochondrial targeting	YJL062W-A	coa3	COA3
Respiration, oxidative phosphorylation, mitochondrial targeting	YDL067C	cox9	COX9
Respiration, oxidative phosphorylation, mitochondrial targeting	YJL003W	cox16	COX16
Respiration, oxidative phosphorylation, mitochondrial targeting	YGL187C	cox4	COX4
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR079W	pet100	PET100
Respiration, oxidative phosphorylation, mitochondrial targeting	YGR062C	cox18	COX18
Respiration, oxidative phosphorylation, mitochondrial targeting	YLR203C	mss51	MSS51
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR287C	dss1	DSS1
Respiration, oxidative phosphorylation, mitochondrial targeting	YDL069C	cbs1	CBS1
Respiration, oxidative phosphorylation, mitochondrial targeting	YJL209W	cbp1	CBP1
Respiration, oxidative phosphorylation, mitochondrial targeting	YOR350C	mne1	MNE1
Respiration, oxidative phosphorylation, mitochondrial targeting	YOR201C	mrm1	MRM1
Respiration, oxidative phosphorylation, mitochondrial targeting	YKL208W	cbt1	CBT1
Respiration, oxidative phosphorylation, mitochondrial targeting	YDL107W	mss2	MSS2
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR194C	mss116	MSS116
Respiration, oxidative phosphorylation, mitochondrial targeting	YHL038C	cbp2	CBP2
Respiration, oxidative phosphorylation, mitochondrial targeting	YGL236C	mto1	MTO1
Respiration, oxidative phosphorylation, mitochondrial targeting	YBR120C	cbp6-supp1	CBP6
Respiration, oxidative phosphorylation, mitochondrial targeting	YKL167C	mrp49	MRP49
Respiration, oxidative phosphorylation, mitochondrial targeting	YCR071C	img2	IMG2
Respiration, oxidative phosphorylation, mitochondrial targeting	YCR046C	img1	IMG1
Respiration, oxidative phosphorylation, mitochondrial targeting	YER153C	pet122	PET122
Respiration, oxidative phosphorylation, mitochondrial targeting	YJR113C	rsm7	RSM7
Respiration, oxidative phosphorylation, mitochondrial targeting	YHR075C	ppe1	PPE1
Respiration, oxidative phosphorylation, mitochondrial targeting	YGR222W	pet54	PET54
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR023C	mss1	MSS1
Respiration, oxidative phosphorylation, mitochondrial targeting	YPL097W	msy1	MSY1
Respiration, oxidative phosphorylation, mitochondrial targeting	YPL118W	mrp51	MRP51
Respiration, oxidative phosphorylation, mitochondrial targeting	YBR268W	mrpl37	MRPL37
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR282C	aep2	AEP2
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR462W	mrpl28	MRPL28
Respiration, oxidative phosphorylation, mitochondrial targeting	YIR021W	mrs1	MRS1
Respiration, oxidative phosphorylation, mitochondrial targeting	YJL131C	aim23	AIM23
Respiration, oxidative phosphorylation, mitochondrial targeting	YKR085C	mrpl20	MRPL20
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR064W	aep1	AEP1
Respiration, oxidative phosphorylation, mitochondrial targeting	YEL050C	rml2	RML2
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR405W	mrp20	MRP20
Respiration, oxidative phosphorylation, mitochondrial targeting	YGR264C	mes1-1	MES1
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR337W	mrps28	MRPS28
Respiration, oxidative phosphorylation, mitochondrial targeting	YBR146W	mrps9	MRPS9
Respiration, oxidative phosphorylation, mitochondrial targeting	YKL155C	rsm22	RSM22
Respiration, oxidative phosphorylation, mitochondrial targeting	YNL185C	mrpl19	MRPL19
Respiration, oxidative phosphorylation, mitochondrial targeting	YHR189W	pth1	PTH1
Respiration, oxidative phosphorylation, mitochondrial targeting	YPL005W	aep3	AEP3
Respiration, oxidative phosphorylation, mitochondrial targeting	YHR038W	rrf1	RRF1
Respiration, oxidative phosphorylation, mitochondrial targeting	YBL080C	pet112	PET112
Respiration, oxidative phosphorylation, mitochondrial targeting	YOL023W	ifm1	IFM1
Respiration, oxidative phosphorylation, mitochondrial targeting	YMR257C	pet111	PET111
Respiration, oxidative phosphorylation, mitochondrial targeting	YPR047W	msf1	MSF1
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR257C	rkm4	RKM4
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR012W	rpl4b	RPL4B
Respiration, oxidative phosphorylation, mitochondrial targeting	YIL073C	spo22	SPO22
Respiration, oxidative phosphorylation, mitochondrial targeting	YPL183W-A	rtc6	RTC6
Respiration, oxidative phosphorylation, mitochondrial targeting	YDR065W	rrg1	RRG1
Respiration, oxidative phosphorylation, mitochondrial targeting	YGL235W	ygl235w	YGL235W
Respiration, oxidative phosphorylation, mitochondrial targeting	YER077C	yer077c	MRX1
Respiration, oxidative phosphorylation, mitochondrial targeting	YKL107W	ykl107w	YKL107W
Respiration, oxidative phosphorylation, mitochondrial targeting	YIL047C	syg1	SYG1
Respiration, oxidative phosphorylation, mitochondrial targeting	YJL133C-A	yjl133c-a	YJL133C-A
