p_value	real_mean	simulated_mean
0.125	0.010638297872340425	0.0
0.125	0.01020408163265306	0.0
0.125	0.01020408163265306	0.0
0.125	0.02040816326530612	0.0
0.125	0.02040816326530612	0.0
0.125	0.02	0.0
0.125	0.02	0.0
0.125	0.02	0.0
0.125	0.0392156862745098	0.0
0.125	0.0392156862745098	0.0
0.125	0.04807692307692308	0.0
0.125	0.0673076923076923	0.0
0.125	0.0673076923076923	0.0
0.125	0.0660377358490566	0.0
0.125	0.0660377358490566	0.0
0.125	0.0660377358490566	0.0
0.125	0.06481481481481481	0.0
0.125	0.07407407407407407	0.0
0.125	0.10185185185185185	0.0
0.125	0.09999999999999999	0.0
0.125	0.09999999999999999	0.0
0.125	0.09999999999999999	0.0
0.125	0.1090909090909091	0.0
0.125	0.13636363636363635	0.0
0.125	0.13636363636363635	0.0
0.25	0.13636363636363635	0.0
0.25	0.15178571428571427	0.0
0.25	0.15178571428571427	0.0
0.25	0.16071428571428573	0.0
0.25	0.17857142857142858	0.0
0.25	0.1875	0.0
0.33538642478870107	0.13095238095238096	0.0
0.33538642478870107	0.14367816091954022	0.0
0.33538642478870107	0.14124293785310735	0.0
0.33538642478870107	0.14689265536723164	0.0
0.33538642478870107	0.15	0.0
0.33538642478870107	0.14754098360655735	0.0
0.4654592012289704	0.11290322580645161	0.0
0.4654592012289704	0.11693548387096774	0.0
0.5704628577063466	0.12096774193548387	0.0
0.6357439199970393	0.08333333333333333	0.0
0.6357439199970393	0.08602150537634409	0.0
