p_value	real_mean	simulated_mean
0.125	0.14285714285714282	0.03571428571428571
0.125	0.22222222222222227	0.05555555555555555
0.125	0.22222222222222227	0.05555555555555555
0.125	0.19999999999999998	0.05
0.125	0.39999999999999997	0.1
0.125	0.3333333333333333	0.08333333333333333
0.125	0.3076923076923077	0.07692307692307693
0.125	0.46666666666666673	0.11666666666666667
0.125	0.4705882352941177	0.11764705882352941
0.125	0.4705882352941177	0.11764705882352941
0.18493751527336919	0.42105263157894735	0.10526315789473684
0.18493751527336919	0.3636363636363637	0.09090909090909091
0.4521343846814967	0.18181818181818185	0.09090909090909091
