p_value	real_mean	simulated_mean	simulated_std
0.9104814698628346	0.16666666666666666	0.13505208333333335	0.19212826574434583
0.9143494423920369	0.16666666666666666	0.13342573924731183	0.19372629478815795
0.8956448555927459	0.16666666666666666	0.12660450268817203	0.19987405369771571
0.9093869605598561	0.16666666666666666	0.11492355510752689	0.18291129464245773
0.9053535766519264	0.16666666666666666	0.13148941532258066	0.19562303921127808
0.9142378922881225	0.16666666666666666	0.12689012096774194	0.1959262896558377
0.9269638894305491	0.16666666666666666	0.12739835349462367	0.195749172051535
0.913916049722585	0.16666666666666666	0.12937247983870967	0.19088744088533013
0.9125218833194961	0.1111111111111111	0.0983814964157706	0.1367046706352208
0.8953896372963852	0.1111111111111111	0.08831765232974909	0.13204340595406922
0.939037683356019	0.1111111111111111	0.09956597222222222	0.1425569257839811
0.9004918649237881	0.1111111111111111	0.09322076612903224	0.13683060168763322
0.8907034443047257	0.1111111111111111	0.10491472630718954	0.14090636474142207
0.9181929662306176	0.1111111111111111	0.10129187091503268	0.1412070130681894
0.8789769881252394	0.08333333333333333	0.07999069940476192	0.11295850064280928
0.8684030325503447	0.08333333333333333	0.08484747023809523	0.11512919205398411
0.8508244497412025	0.0625	0.0812140125616688	0.11207167275709146
0.8951380861176508	0.0625	0.07443755246489622	0.11037018671898383
0.7112659068022824	0.25	0.16300211290445665	0.2031596246353196
0.6898185798375924	0.25	0.16576248187576312	0.2099818560059751
0.7221480602487959	0.25	0.17239952972374847	0.20825335893605607
0.6700024114270471	0.25	0.16041293053011801	0.2079294133973699
0.7203664257432449	0.2	0.13372809915778666	0.1978939589920926
0.7116568863725772	0.2	0.13276711352883228	0.19260720662136854
0.7361344663699342	0.2	0.14461396893037518	0.20578189700936167
0.7352636640364942	0.2	0.14644116372632	0.20518964523390226
0.7307792008426164	0.2	0.14216817615255117	0.2012725656727163
0.7115602176220159	0.18	0.1277867502867503	0.18181376452136772
0.830148834969354	0.18666666666666668	0.14732590904465903	0.2134643705039314
0.7988753630048905	0.18666666666666668	0.1478123728123728	0.21609701115165406
0.8289880537203982	0.11666666666666667	0.09380622904961847	0.18727064293834889
0.8031013186131385	0.0641025641025641	0.06663805422466339	0.1511416190174932
0.762953365424712	0.0641025641025641	0.06587754830560968	0.14667069548780134
0.7737766954597189	0.0641025641025641	0.07096055585079199	0.15312305273693222
0.7467318940617573	0.05555555555555555	0.06393235032768813	0.14784223121006929
0.7684810193476974	0.05555555555555555	0.06520400856591858	0.1511557198259531
0.7570332360647888	0.06666666666666667	0.07488070581543216	0.15600184620769392
0.6693682706216102	0.06190476190476189	0.08713694729485277	0.17264196158813538
0.6811989278154857	0.05833333333333333	0.08412466473651958	0.17270797635065993
0.6331604384728589	0.05	0.08174466980170286	0.17158407322918878
0.5867480232355315	0.04583333333333333	0.08004729109380099	0.16416333849396636
