p_value	real_mean	simulated_mean
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.020833333333333332	0.0078125
0.8353864247887011	0.041666666666666664	0.015625
0.8353864247887011	0.041666666666666664	0.015625
0.8353864247887011	0.041666666666666664	0.015625
0.7957728495774021	0.041666666666666664	0.015625
0.7957728495774021	0.041666666666666664	0.015625
0.7957728495774021	0.041666666666666664	0.015625
0.7957728495774021	0.041666666666666664	0.015625
0.7508820569491705	0.03125	0.015625
0.716341258178141	0.03125	0.015625
0.7923773269410997	0.024999999999999998	0.01171875
0.7205726349725106	0.04499999999999999	0.071001062016687
0.7205726349725106	0.04499999999999999	0.071001062016687
0.7205726349725106	0.04499999999999999	0.061452450905575905
0.7205726349725106	0.04499999999999999	0.05667814535002035
0.7205726349725106	0.04499999999999999	0.05667814535002035
0.7205726349725106	0.04499999999999999	0.05667814535002035
0.6706813482252335	0.05416666666666668	0.055478635947385946
0.5512723375286757	0.06518849206349207	0.055197865130900844
0.5512723375286757	0.06518849206349207	0.05383377782931354
0.6082770492927627	0.06733293317326929	0.19168048346789696
0.6210458522429665	0.06643257302921167	0.18824449651655537
0.6309626663317474	0.05472789115646259	0.17924028585793292
0.6236359602224408	0.0520995670995671	0.1767224197371256
0.7375690318714666	0.03969924812030074	0.12606055904803393
0.7461124152408289	0.03732646834477498	0.11992994564046355
0.6744855008570707	0.03129370629370629	0.10687950244200244
0.6420121439362939	0.026979114295290766	0.10147684135351295
0.6420121439362939	0.024048966228959825	0.09967513146611355
0.6453511630517205	0.023830552250465202	0.0994409435037587
0.7054984371334655	0.023178534571723423	0.05533218539459147
