p_value	real_mean	simulated_mean
0.7673192567018083	0.16666666666666666	0.041666666666666664
0.7673192567018083	0.16666666666666666	0.041666666666666664
0.7673192567018083	0.16666666666666666	0.041666666666666664
0.7673192567018083	0.16666666666666666	0.041666666666666664
0.8564031540444901	0.25	0.041666666666666664
0.8564031540444901	0.25	0.041666666666666664
0.8564031540444901	0.25	0.041666666666666664
0.8564031540444901	0.25	0.041666666666666664
0.8564031540444901	0.25	0.041666666666666664
0.8564031540444901	0.25	0.041666666666666664
0.8564031540444901	0.25	0.041666666666666664
0.7029425269741062	0.09999999999999999	0.028125
0.7029425269741062	0.06666666666666667	0.01875
0.7029425269741062	0.06666666666666667	0.01875
0.7029425269741062	0.06666666666666667	0.01875
0.7029425269741062	0.06666666666666667	0.01875
0.6715742118933261	0.047619047619047616	0.04800485008818342
0.6576300719146179	0.041666666666666664	0.046924603174603174
0.6461599104653456	0.037037037037037035	0.04475919913419914
0.6461599104653456	0.037037037037037035	0.04475919913419914
0.6284211584092068	0.037037037037037035	0.05203192640692641
0.48119023455008847	0.022222222222222223	0.05233585858585858
0.493826713974887	0.022222222222222223	0.05112373737373736
0.5345207631079031	0.020833333333333332	0.043948412698412695
0.4901983850079267	0.0196078431372549	0.04467130092130092
0.40875022642362135	0.01515151515151515	0.046690968130596616
0.2342211214661718	0.011904761904761904	0.04550898721039146
0.22938020820722732	0.011494252873563218	0.045212224565939735
